Authors	Year	Title	Journal Name	Vol	Issue	Pages	Reference Type	Research notes	doi 	IFAS Unit
"Valencia, H., Wang, A., Soto, A., Aristizabal, M., Arboleda, J., Eyun, S., Ossa, G. A., Noriega, D. D. and Siegfried, B. D."	2016	Pyrosequencing the midgut transcriptome of the banana weevil Cosmopolites sordidus (Germar) (Coleoptera: Curculionidae) reveals multiple protease-like transcripts.	PLos One	11	3	Article e0151001 	Journal Article		e0151001	Ent/Nem
"Valle, D., Millar, J. and Amratia, P."	2016	Spatial heterogeneity can undermine the effectiveness of country-wide test and treat policy for malaria: a case study from Burkina Faso	Malaria Journal	15		9	Journal Article		10.1186/s12936-016-1565-2	
"Van Antwerpen, R., Ng Cheong, R., Miles, N. and Gilbert, R."	2016	Strategies for cane production in marginal environments and under more environmental scrutiny	Proc. Int. Soc. Sugar Cane Technol	29		539-550	Journal Article			Agronomy
"Van Bruggen, A. H. and Finckh, M."	2016	Plant Diseases and Management Approaches in Organic Farming Systems	Annual review of phytopathology	54		25-54	Journal Article			
"Van Bruggen, A. H., Gamliel, A. and Finckh, M. R."	2016	Plant disease management in organic farming systems	Pest management science	72	1	30-44	Journal Article			
"Van Bruggen, A. H., Narouei-Khandan, H. A., Gravel, V. and Blok, W. J."	2016	"Corky root severity, root knot nematode galling and microbial communities in soil, rhizosphere and rhizoplane in organic and conventional greenhouse compartments"	Applied Soil Ecology	100		112-123	Journal Article			
"Van Bussel, L. G. J., Ewert, F., Zhao, G., Hoffmann, H., Enders, A., Wallach, D., Asseng, S., Baigorria, G. A., Basso, B., Biernath, C., Cammarano, D., Chryssanthacopoulos, J., Constantin, J., Elliott, J., Glotter, M., Heinlein, F., Kersebaum, K. C., Klein, C., Nendel, C., Priesack, E., Raynal, H., Romero, C. C., Rotter, R. P., Specka, X. and Tao, F. L."	2016	Spatial sampling of weather data for regional crop yield simulations	Agricultural and Forest Meteorology	220		101-115	Journal Article		10.1016/j.agrformet.2016.01.014	ABE
"Van De Kerk, M., Littles, C. J., Saucedo, O. and Lorenzen, K."	2016	The Effect of Latitudinal Variation on Shrimp Reproductive Strategies	Plos One	11	5	11	Journal Article		10.1371/journal.pone.0155266	
"Van Der Kloet, F. M., Sebastian-Leon, P., Conesa, A., Smilde, A. K. and Westerhuis, J. A."	2016	Separating common from distinctive variation	Bmc Bioinformatics	17		Article 195	Journal Article		10.1186/s12859-016-1037-2	
"Van Der Merwe, J. and Hellgren, E."	2016	Spatial variation in trophic ecology of small mammals in wetlands: support for hydrological drivers	Ecosphere	7	11	doi: 10.1002/ecs2.1567	Journal Article		10.1002/ecs2.1567	
"Van Der Merwe, J., Hellgren, E. C. and Schauber, E. M."	2016	Variation in metapopulation dynamics of a wetland mammal: The effect of hydrology	Ecosphere	7	3	doi: 10.1002/ecs2.1275	Journal Article		10.1002/ecs2.1275	
"Van Leuken, J., Swart, A., Brandsma, J., Terink, W., Van De Kassteele, J., Droogers, P., Sauter, F., Havelaar, A. and Van Der Hoek, W."	2016	Human Q fever incidence is associated to spatiotemporal environmental conditions	One Health	2		77-87	Journal Article			Animal Sci
"Van Leuken, J. P. G., Swart, A. N., Droogers, P., Van Pul, A., Heederik, D. and Havelaar, A. H."	2016	Climate change effects on airborne pathogenic bioaerosol concentrations: a scenario analysis	Aerobiologia	32	4	607-617	Journal Article		10.1007/s10453-016-9435-5	Animal Sci
"Van Leuken, J. P. G., Swart, A. N., Havelaar, A. H., Van Pul, A., Van Der Hoek, W. and Heederik, D."	2016	Atmospheric dispersion modelling of bioaerosols that are pathogenic to humans and livestock – A review to inform risk assessment studies	Microbial Risk Analysis	1		19-39	Journal Article		http://dx.doi.org/10.1016/j.mran.2015.07.002	Animal Sci
"Van Lier, A., Mcdonald, S. A., Bouwknegt, M., Kretzschmar, M. E., Havelaar, A. H., Mangen, M. J. J., Wallinga, J., De Melker, H. E. and Grp, E."	2016	"Disease Burden of 32 Infectious Diseases in the Netherlands, 2007-2011"	Plos One	11	4		Journal Article		ARTN e0153106; 10.1371/journal.pone.0153106	Animal Sci
"Vanaclocha, P., Jones, M. M., Monzo, C. and Stansly, P. A."	2016	Placement density and longevity of pheromone traps for monitoring of the citrus leafminer (Lepidoptera: Gracillariidae)	Florida Entomologist	99	2	196-202	Journal Article			
"Vanegas, D. C., Gomes, C. and Mclamore, E. S."	2016	Biosensors for Indirect Monitoring of Foodborne Bacteria	Biosensors Journal	5	1	137-139	Journal Article		doi:10.4172/2090- 4967.1000137	ABE
"Vanweelden, M. T., Wilson, B. E., Beuzelin, J. M., Reagan, T. E. and Way, M. O."	2016	Impact of nitrogen fertilization on Mexican rice borer (Lepidoptera: Crambidae) injury and yield in bioenergy sorghum	Crop Protection	84		37-43	Journal Article		10.1016/j.cropro.2016.02.005	Everglades REC
"Vasudev, D., Fletcher, R. J., Jr."	2016	Mate choice interacts with movement limitations to influence effective dispersal	Ecological Modelling	327		65-73	Journal Article		10.1016/j.ecolmodel.2016.01.014	
"Vaughan, M. M., Huffaker, A., Schmelz, E. A., Dafoe, N. J., Christensen, S. A., Mcauslane, H. J., Alborn, H. T., Allen, L. H. and Teal, P. E. A."	2016	Interactive Effects of Elevated CO2 and Drought on the Maize Phytochemical Defense Response against Mycotoxigenic Fusarium verticillioides	Plos One	11	7	Article e0159270	Journal Article		10.1371/journal.pone.0159270	Ent/Nem
"Vazquez, A. I., Veturi, Y., Behring, M., Shrestha, S., Kirst, M., Resende, M. F. R. and De Los Campos, G."	2016	Increased Proportion of Variance Explained and Prediction Accuracy of Survival of Breast Cancer Patients with Use of Whole-Genome Multiomic Profiles	Genetics	203	3	1425-1438	Journal Article		10.1534/genetics.115.185181	
"Vélez, A., Khajuria, C., Wang, H., Narva, K. and Siegfried, B. D."	2016	Knockdown of RNA Interference Pathway Genes in Western Corn Rootworms (Diabrotica virgifera virgifera Le Conte) Demonstrates a Possible Mechanism of Resistance to Lethal dsRNA	PLoS One	11	6	e0157520	Journal Article		e0157520	Ent/Nem
"Vellidis, G., Liakos, V., Andreis, J. H., Perry, C. D., Porter, W. M., Barnes, E. M., Morgan, K. T., Fraisse, C. and Migliaccio, K. W."	2016	Development and assessment of a smartphone application for irrigation scheduling in cotton	Computers and Electronics in Agriculture	127		249-259	Journal Article	[ ABE and SWREC in byline]	10.1016/j.compag.2016.06.021	ABE
"Vendramini, J. M., Arthington, J. D., De Oliveira, F. C. L., Aguiar, A. D., Moriel, P., Sanchez, J. M., Cecilio Filho, V. and Yarborough, J. K."	2016	Triticale–annual ryegrass mixture effects on forage characteristics and performance of early-weaned beef calves	The Professional Animal Scientist	32	6	827-832	Journal Article			
"Vendramini, J. M. B., Aguiar, A. D., Adesogan, A. T., Sollenberger, L. E., Alves, E., Galzerano, L., Salvo, P., Valente, A. L., Arriola, K. G., Ma, Z. X. and Oliveira, F. C. L."	2016	"Effects of genotype, wilting, and additives on the nutritive value and fermentation of bermudagrass silage"	Journal of Animal Science	94	7	3061-3071	Journal Article		10.2527/jas2016-0306	Agronomy
"Venne, L. S., Trexler, J. C., Frederick, P. C."	2016	Prescribed burn creates pulsed effects on a wetland aquatic community	HYDROBIOLOGIA	771	1	281-295	Journal Article		10.1007/s10750-016-2640-y	
"Vick-Majors, T. J., Mitchell, A. C., Achberger, A. M., Christner, B. C., Dore, J. E., Michaud, A. B., Mikucki, J. A., Purcell, A. M., Skidmore, M. L., Priscu, J. C. and Team, W. S."	2016	Physiological Ecology of Microorganisms in Subglacial Lake Whillans	Frontiers in Microbiology	7		Article 1705	Journal Article		10.3389/fmicb.2016.01705	
"Vieira-Neto, A., Lima, F. S., Santos, J. E. P., Mingoti, R. D., Vasconcellos, G. S., Risco, C. A. and Galvao, K. N."	2016	Vulvovaginal laceration as a risk factor for uterine disease in postpartum dairy cows	Journal of Dairy Science	99	6	4629-4637	Journal Article		10.3168/jds.2016-10872	Animal Sci
"Vieira-Neto, E. H. M., Vasconcelos, H. L. and Bruna, E. M."	2016	Roads increase population growth rates of a native leaf-cutter ant in Neotropical savannahs	Journal of Applied Ecology	53	4	983-992	Journal Article		10.1111/1365-2664.12651	
"Vilaro, M., Barnett, T., Mathews, A., Pomeranz, J. and Curbow, B."	2016	Income differences in social control of eating behaviors and food choice priorities among southern rural women in the US: A qualitative study	Appetite	107		604-612	Journal Article		10.1016/j.appet.2016.09.003	Food Sci & Nutr
"Vilaro, M., Staub, D., Xu, C. and Mathews, A."	2016	Theory-Based Interventions for Long-Term Adherence to Improvements in Diet Quality: An In-depth Review	Am J Lifestyle Med	10	6	369-376	Journal Article			Food Sci & Nutr
"Villa, C. A., Flint, M., Bell, I., Hof, C., Limpus, C. J. and Gaus, C."	2016	Trace element reference intervals in blood of healthy green sea turtles to evaluate exposure in coastal populations	Environmental Pollution	220	Part B	1465-1476	Journal Article			
"Villegas-Bilbao, M., Newsome, S. D., Blake, J. G."	2016	Seasonal patterns in ?2H  values of multiple tissues from Andean birds provide insights into elevational migration.	Ecological Applications	26	8	2383-2389	Journal Article			
"Vincent, C., Rowland, D., Na, C. and Schaffer, B."	2016	A high-throughput method to quantify root hair area in digital images taken in situ	Plant and Soil			doi: 10.1007/s11104-016-3016-9	Journal Article	Seems to be online only - confirmed in pdf: Received: 11 May 2016 /Accepted: 5 August 2016	10.1007/s11104-016-3016-9	Citrus REC
"Vitone, T., Stofer, K. A., Steininger, M. S., Hulcr, J., Dunn, R. and Lucky, A."	2016	School of Ants goes to college: integrating citizen science into the general education classroom increases engagement with science	Jcom-Journal of Science Communication	15	1	24	Journal Article			
"Vogel, W. J., Osborne, T. Z., James, R. T. and Cohen, M. J."	2016	"Spectral prediction of sediment chemistry in Lake Okeechobee, Florida"	Environmental Monitoring and Assessment	188	10	15	Journal Article		10.1007/s10661-016-5605-8	
"Wald, D. M., Lohr, C. A., Lepszyk, C. A., Jacobson, S. K. and Cox, L. J."	2016	A comparison of cat-related risk perception tolerance for outdoor cats in Florida and Hawaii.	Conservation Biology	30	6	1233-1244	Journal Article			
"Walker, A. M., Sattler, S. A., Regner, M., Jones, J. P., Ralph, J., Vermerris, W., Sattler, S. E. and Kang, C."	2016	The Structure and Catalytic Mechanism of Sorghum bicolor Caffeoyl-CoA O-Methyltransferase	Plant Physiology	172	1	78-92	Journal Article		10.1104/pp.16.00845	
"Wallach, D., Mearns, L., Ruane, A., Rotter, R. and Asseng, S."	2016	Lessons from climate modeling on the design and use of ensembles for crop modeling	Climatic Change	139	3-4	551-564	Journal Article		10.1007/s10584-016-1803-1	ABE
"Wallach, D., Thorburn, P., Asseng, S., Challinor, A. J., Ewert, F., Jones, J. W., Rotter, R. and Ruane, A. C."	2016	Estimating model prediction error: Should you treat predictions as fixed or random?	Environmental Modelling & Software	84		529-539	Journal Article			ABE
"Wallau, M. O., Sollenberger, L. E., Vendramini, J. M. B., Gomide, C. a. M., Mullenix, M. K. and Quesenberry, K. H."	2016	Performance of Limpograss Breeding Lines under Various Grazing Management Strategies	Crop Science	56	6	3345-3353	Journal Article		10.2135/cropsci2016.05.0330	Agronomy
"Walters, T. M., Mazzotti, F. J. and Fitz, H. C."	2016	Habitat Selection by the Invasive Species Burmese Python in Southern Florida	Journal of Herpetology	50	1	50-56	Journal Article			Ft Lauderdale REC
"Walton, W. E., Duguma, D., Tao, M., Popko, D. A. and Nygren, S."	2016	Integrated Mosquito Management in Experimental ConstructedWetlands: Efficacy of Small-Stature Macrophytes and Fluctuating Hydroperiod	Water	8	10	12	Journal Article		10.3390/w8100421	FMEL
"Wan, S., Wang, S., Li, Y. and Gao, B."	2016	Functionalizing biochar with Mg–Al and Mg–Fe layered double hydroxides for removal of phosphate from aqueous solutions	Journal of Industrial and Engineering Chemistry	47		246-253	Journal Article	yes	10.1016/j.jiec.2016.11.039	
"Wan, S. L., He, F., Wu, J. Y., Wan, W. B., Gu, Y. W. and Gao, B."	2016	Rapid and highly selective removal of lead from water using graphene oxide-hydrated manganese oxide nanocomposites	Journal of Hazardous Materials	314		32-40	Journal Article		10.1016/j.jhazmat.2016.04.014	ABE
"Wang, C., Oliver, E. E., Christner, B. C. and Luo, B. H."	2016	Functional Analysis of a Bacterial Antifreeze Protein Indicates a Cooperative Effect between Its Two Ice-Binding Domains	Biochemistry	55	28	3975-3983	Journal Article		10.1021/acs.biochem.6b00323	
"Wang, C. G., Zhang, X. D. and Mou, Z. L."	2016	Comparison of nicotinamide adenine dinucleotide phosphate-induced immune responses against biotrophic and necrotrophic pathogens in Arabidopsis thaliana	Plant Signaling & Behavior	11	6	e1169358	Journal Article		10.1080/15592324.2016.1169358	
"Wang, E. Z., Zhou, Y. M., Huang, Q., Pang, L. F., Qiao, H., Yu, F., Gao, B., Zhang, J. L., Min, Y. H. and Ma, T. S."	2016	5-Hydroxymethylfurfural modified rhodamine B dual-function derivative: Highly sensitive and selective optical detection of pH and Cu2+	Spectrochimica Acta Part a-Molecular and Biomolecular Spectroscopy	152		327-335	Journal Article		10.1016/j.saa.2015.07.090	ABE
"Wang, F. and Tong, Z."	2016	Solely Biomass?Derived Polyethylene Terephthalate (PET): Conversion of Bio?based Isoprene and Acrolein to p?Xylene and Terephthalic Acid	ChemistrySelect	1	17	5538-5541	Journal Article			ABE
"Wang, J., G. Li, M. A. Elzo, X. Jia, S. Chen, and S. Lai."	2016	Calpastatin gene polymorphism is associated with rabbit meat quality traits	Journal of Applied Animal Research	45	1	342-345	Journal Article		http://dx.doi.org/10.1080/09712119.2016.1191498	Animal Sci
"Wang, J., P. Xu, S. Li, L. Yan, M. A. Elzo, X. Jia, S. Chen, M. Zhang, and S. Lai"	2016	A single nucleotide polymorphism in CAST gene is associated with meat quality traits in rabbits	Animal Science Papers and Reports	34	3	269-278	Journal Article			Animal Sci
"Wang, J., Y. Su, M. A. Elzo, X. Jia, S. Chen, and S. Lai"	2016	Comparison of carcass and meat quality traits among three rabbit breeds	Korean Journal for Food Science of Animal Resources	36	1	84-89	Journal Article		http://dx.doi.org/10.5851/kosfa.2016.36.1.84	Animal Sci
"Wang, J. and Vermerris, W."	2016	Antimicrobial Nanomaterials Derived from Natural Products-A Review	Materials	9	4	Article 255	Journal Article		10.3390/ma9040255	
"Wang, J. F., Huang, Y. M., Li, K. X., Chen, Y. Y., Vanegas, D., Mclamore, E. S. and Shen, Y. B."	2016	Leaf Extract from Lithocarpus polystachyus Rehd. Promote Glycogen Synthesis in T2DM Mice	Plos One	11	11	24	Journal Article		10.1371/journal.pone.0166557	ABE
"Wang, M., Gao, B. and Tang, D. S."	2016	Review of key factors controlling engineered nanoparticle transport in porous media	Journal of Hazardous Materials	318		233-246	Journal Article		10.1016/j.jhazmat.2016.06.065	ABE
"Wang, N. Y., Zhang, K., Huguet-Tapia, J. C., Rollins, J. A. and Dewdney, M. M."	2016	Mating Type and Simple Sequence Repeat Markers Indicate a Clonal Population of Phyllosticta citricarpa in Florida	Phytopathology	106	11	1300-1310	Journal Article		10.1094/phyto-12-15-0316-r	Citrus REC
"Wang, S., Gao, B., Li, Y., Creamer, A. E. and He, F."	2016	Adsorptive removal of arsenate from aqueous solutions by biochar supported zero-valent iron nanocomposite: Batch and continuous flow tests	Journal of hazardous materials	322		172-181	Journal Article	Special Issue		
"Wang, S., Gao, B., Li, Y., Zimmerman, A. and Cao, X."	2016	Sorption of arsenic onto Ni/Fe layered double hydroxide (LDH)-biochar composites	Rsc Advances	6	22	17792-17799	Journal Article		10.1039/c5ra17490b	
"Wang, S. S., Gao, B. and Li, Y. C."	2016	Enhanced arsenic removal by biochar modified with nickel (Ni) and manganese (Mn) oxyhydroxides	Journal of Industrial and Engineering Chemistry	37		361-365	Journal Article		10.1016/j.jiec.2016.03.048	ABE
"Wang, Y., Lee, P.-S., Chen, Y.-F., Ho, C.-T. and Pan, M.-H."	2016	"Suppression of Adipogenesis by 5-Hydroxy-3,6,7,8,3?,4?-Hexamethoxyflavone from Orange Peel in 3T3-L1 Cells"	Journal of Medicinal Food	19	9	830-835	Journal Article		10.1089/jmf.2016.0060	Citrus REC
"Wang, Y., Lu, H. and Hu, J."	2016	Molecular Mapping of High Resistance to Bacterial Leaf Spot in Lettuce PI 358001-1	Phytopathology	106	11	1319-1325	Journal Article		10.1094/PHYTO-09-15-0238-R	Everglades REC
"Wang, Y., Pannuri, A. A., Ni, D. C., Zhou, H. Z., Cao, X. O., Lu, X. M., Romeo, T. and Huang, Y. H."	2016	Structural Basis for Translocation of a Biofilm-supporting Exopolysaccharide across the Bacterial Outer Membrane	Journal of Biological Chemistry	291	19	10046-10057	Journal Article		10.1074/jbc.M115.711762	
"Warden, J. G., Casaburi, G., Omelon, C. R., Bennett, P. C., Breecker, D. O. and Foster, J. S."	2016	"Characterization of Microbial Mat Microbiomes in the Modern Thrombolite Ecosystem of Lake Clifton, Western Australia Using Shotgun Metagenomics"	Frontiers in microbiology	7		Article 1064	Journal Article		10.3389/fmicb.2016.01064	
"Warner, L., Lamm, A., Rumble, J., Martin, E. and Cantrell, R."	2016	Classifying residents who use landscape irrigation: implications for encouraging water conservation behavior.	Environmental Management	58	2	15	Journal Article			FYCS
"Warner, L. A., Chaudhary, A. K. and Galindo-Gonzalez, S."	2016	"Extension Participants and Nonparticipants Differ in Water Conservation Normative Beliefs, Intentions, and Behaviors"	HortTechnology	26	6	852-861	Journal Article		10.21273/HORTTECH03484-16	Ag Ed
"Warner, L. A., Chaudhary, A. K. and Lamm, A. J."	2016	Using Importance-Performance Analysis to Guide Extension Needs Assessment	Journal of Extension	54	6	6FEA1	Journal Article			Ag Ed
"Warner, L. A., Lamm, A. J., Rumble, J. N., Martin, E. T. and Cantrell, R."	2016	Classifying Residents who use Landscape Irrigation: Implications for Encouraging Water Conservation Behavior	Environmental Management	58	2	238-253	Journal Article		10.1007/s00267-016-0706-2	Ag Ed
"Warner, L. A., Stubbs, E., Murphrey, T. P. and Huynh, P."	2016	Identification of the Competencies Needed to Apply Social Marketing to Extension Programming: Results of a Delphi Study	Journal of Agricultural Education	57	2	14-32	Journal Article		10.5032/jae.2016.02014 	Ag Ed
"Warning, A., Datta, A. K. and Bartz, J. A."	2016	Mechanistic understanding of temperature-driven water and bacterial infiltration during hydrocooling of fresh produce	Postharvest Biology and Technology	118		159-174	Journal Article			
"Watine, L. N. and Giuliano, W. M."	2016	Coyote predation effects on white-tailed deer fawns	Natural Resources	7		628-643	Journal Article		10.4236/nr.2016.711050 	
"Webb, E. E., Schuur, E. a. G., Natali, S. M., Oken, K. L., Bracho, R., Krapek, J. P., Risk, D. and Nickerson, N. R."	2016	Increased wintertime CO2 loss as a result of sustained tundra warming	Journal of Geophysical Research-Biogeosciences	121	2	249-265	Journal Article		10.1002/2014jg002795	
"Webb, S. E., Badillo-Vargas, I. E., Purcifull, D. E., Hiebert, E., Baker, C. A., Funderburk, J. E. and Adkins, S."	2016	Zucchini tigre mosaic virus Infection of Cucurbits in Florida	Plant Disease	100	12	2540-2540	Journal Article	Possibly inappropriate -- Disease Notes may not be peer-reviewed	10.1094/pdis-05-16-0660-pdn	
"Weeks, E., Machtinger, E., Gezan, S. and Kaufman, P."	2017	Effect of four commercial fungal formulations on mortality and sporulation of house flies (Musca domestica) and stable flies (Stomoxys calcitrans)	Medical and Veterinary Entomology 2016	31	1	15-22	Journal Article		10.1111/mve.12201	
"Weeks, E. M., Et; Gezan, Sa; Kaufman, Pe; Geden, Cj"	2016	Effects of four commercial fungal formulations on mortality and sporulation in house flies (Musca domestica) and stable flies (Stomoxys calcitrans)	Medical and Veterinary Entomology	31	1	15-22	Journal Article			Ent/Nem
"Wei, C., Hincapie, M., Larsen, N., Nuessly, G. and Rott, P."	2016	First report of Sugarcane yellow leaf virus infecting grain sorghum (Sorghum bicolor) in the United States	Plant Disease	100	8	1798-1799	Journal Article			Everglades REC
"Wei, X., Chen, J., Zhang, C. and Pan, D."	2016	A new Oidiodendron maius strain isolated from Rhododendron fortunei and its effects on nitrogen uptake and plant growth	Frontiers in Microbiology	7		Article 1327	Journal Article		10.3389/fmicb.2016.01327	
"Wei, X., Chen, J., Zhang, C. and Pan, D."	2016	Differential gene expression in Rhododendron fortunei roots colonized by an ericoid mycorrhizal fungus and increased nitrogen absorption and plant growth	Frontiers in Plant Science	7		Article 1594	Journal Article		10.3389/fpls.2016.01594	
"Wei, X. P., Guan, Z. and Zhu, H."	2016	Farmer's willingness to paricipate in wetland restoration:  a hurdle model approach	Agricultural Economics	47	6	719-727	Journal Article		10.1111/agec.12268	
"Wei, X. Y., Song, X. Y., Dong, D., Keyhani, N. O., Yao, L. D., Zang, X. Y., Dong, L. L., Gu, Z. J., Fu, D. L., Liu, X. Z., Qiu, J. Z. and Guan, X."	2016	Efficient production of Aschersonia placenta protoplasts for transformation using optimization algorithms	Canadian Journal of Microbiology	62	7	579-587	Journal Article		10.1139/cjm-2015-0770	
"Weibel, J., Tran, T. M., Bocsanczy, A. M., Allen, C., Daughtrey, M., Luis Mejia, L. and Norman, D. J."	2016	"A Ralstonia solanacearum Strain from Guatemala Infects Diverse Flower Crops, Including New Asymptomatic Hosts Vinca and Sutera, and Causes Symptoms in Geranium, Mandevilla Vine, and New Host African Daisy (Osteospermum ecklonis)"	Plant Health Progress	17	2	114-121	Journal Article			
"Welikhe, P., Essamuah-Quansah, J., Boote, K., Asseng, S., El Afandi, G., Fall, S., Mortley, D. and Ankumah, R."	2016	Impact of Climate Change on Corn Yields in Alabama	Professional Agricultural Workers Journal	4	1	12	Journal Article			Agronomy
"Weng, L., Gong, Y., Culver, J., Gardell, S., Petucci, C., Morse, A., Frye, R., Turner, S., Chapman, A., Boerwinkle, E., Gums, J., Beitelshees, A., Borum, P., Johnson, J., Garrett, T., Mcintyre, L. and Cooper-Dehoff, R."	2016	Presence of arachidonoyl-carnitine is associated with adverse cardiometabolic responses in hypertensive patients treated with atenolol	Metabolomics	12	160	doi: 10.1007/s11306-016-1098-2	Journal Article		10.1007/s11306-016-1098-2	Food Sci & Nutr
"Weppelmann, T. A., Von Fricken, M. E., Lam, B., Telisma, T., Existe, A., Lemoine, J. F., Larkin, J. and Okech, B. A."	2016	Sparse serological evidence of Plasmodium vivax transmission in the Ouest and Sud-Est departments of Haiti	Acta Tropica	162		27-34	Journal Article		10.1016/j.actatropica.2016.05.011	
"White, S., Johnson, S., Bobel, J. and Warren, L."	2016	Dietary selenium and prolonged exercise alter gene expression and activity of antioxidant enzymes in equine skeletal muscle	Journal of Animal Science	94	7	2867-2878	Journal Article		10.2527/jas.2016-0348	Animal Sci
"White, S. N. and Boyd, N. S."	2016	"Effect of dry heat, direct flame, and straw burning on seed germination of weed species found in lowbush blueberry fields"	Weed Technology	30	1	263-270	Journal Article			
"White, S. N., Boyd, N. S. and Van Acker, R. C."	2016	Evaluation of aminocyclopyrachlor applied along and in combination with registered herbicides for crop tolerance and weed control in wild blueberry (Vaccinium angustifolium Ait.)	Canadian Journal of Plant Science	96	1	11-16	Journal Article			
"Whiting, S., Cheng, P., Thorpe, L., Viveky, N., Alcorn, J., Hadjistavropoulos, T. and Dahl, W."	2016	Hand grip strength as a nutritional assessment tool in long term care homes.	Journal of Ageing Research and Health Care	1	2	1-11	Journal Article	Recommend delete; Reason: cannot locate article	10.14302/issn.2474-7785.jarh-16-1177	Food Sci & Nutr
"Whitlock, M. C., Bronstein, J. L., Bruna, E. M., Ellison, A. M., Fox, C. W., Mcpeek, M. A., Moore, A. J., Noor, M., A. F. Rausher, M. D., Rieseberg, L. H., Ritchie, M. G., Shaw, R. G."	2016	A Balanced Data Archiving Policy for Long-Term Studies	Trends in Ecology & Evolution	31	2	84-85	Journal Article		10.1016/j.tree.2015.12.001	
"Wightman, M. G., Martin, T. A., Gonzalez-Benecke, C. A., Jokela, E. J., Cropper, J., W. P. and Ward, E. J."	2016	Loblolly pine productivity and water relations in response to throughfall reduction and fertilizer application on a poorly drained site in nothern Florida.	Forests	7		214	Journal Article		http://dx.doi.org/10.3390/f7100214	
"Wilcox, R. C. and Fletcher, R. J. J."	2016	Experimental test of preferences for an invasive prey by an endangered predator: Implications for conservation	Plos One	11	11	0165427	Journal Article		10.1371/journal.pone.0165427	
"Willett, D. S., George, J., Willett, N. S., Stelinski, L. L. and Lapointe, S. L."	2016	Machine Learning for Characterization of Insect Vector Feeding	PLOS Computational Biology	12	11	e1005158	Journal Article		10.1371/journal.pcbi.1005158	Citrus REC
"Williams, C. M. M., Marshall D; Sunny, Nishanth E; Szejner-Sigal, Andre; Morgan, Theodore J; Allison, David B; Hahn, Daniel A"	2016	Cold adaptation increases rates of nutrient flow and metabolic plasticity during cold exposure in Drosophila melanogaster	Proc. R. Soc. B	283	1838	20161317	Conference Proceedings			Custom 8
"Williams, C. M. S.-S., A.; Morgan, T. J.; Edison, A. S.; Allison, D. B.; Hahn, D. A."	2016	Adaptation to Low Temperature Exposure Increases Metabolic Rates Independently of Growth Rates	Integrative and Comparative Biology	56	1	62-72	Journal Article		10.1093/icb/icw009	Ent/Nem
"Williams, J., Bartoshuk, L., Fillingim, R. and Dotson, C."	2016	Exploring Ethnic Differences in Taste Perception	Chemical Senses	41	5	449-456	Journal Article	yes	10.1093/chemse/bjw021	Food Sci & Nutr
"Wilson, P. C., Gruber, B., Lin, Y. J., Kumar, P., Niebch, D. and Wilson, S."	2016	Influence of Three Citrus Herbicides on Potential Production of Sorghum bicolor 'Topper 76-6' as a Bioenergy Crop	Bulletin of Environmental Contamination and Toxicology	97	5	639-645	Journal Article		10.1007/s00128-016-1913-5	Env Hort
"Wiltbank, M. C., Baez, G. M., Garcia-Guerra, A., Toledo, M. Z., Monteiro, P. L. J., Melo, L. F., Ochoa, J. C., Santos, J. E. P. and Sartori, R."	2016	Pivotal periods for pregnancy loss during the first trimester of gestation in lactating dairy cows	Theriogenology	86	1	239-253	Journal Article		10.1016/j.theriogenology.2016.04.037	Animal Sci
"Wohlgemuth, S., Ramirez-Lee, Y., Tao, S., Monteiro, A., Ahmed, B. and Dahl, G."	2016	Short communication: Effect of heat stress on markers of autophagy in the mammary gland during the dry period	Journal of dairy science	99	6	4875-4880	Journal Article			Animal Sci
"Wolf, A. J., Walters, T. M., Rochford, M. R., Snow, R. W. and Mazzotti, F. J."	2016	"Incubation Temperature and Sex Ratio of a Python bivittatus (Burmese Python) Clutch Hatched in Everglades National Park, Florida"	Southeastern Naturalist	15	sp8	35-39	Journal Article			Ft Lauderdale REC
"Wolfe, M., Ting, K., Scott, N., Sharpley, A., Jones, J. and Verma, L."	2016	Engineering solutions for food-energy-water systems: it is more than engineering	Journal of Environmental Studies and Sciences	6	1	172-182	Journal Article			ABE
"Wright, M. L., Pendarvis, K., Nanduri, B., Edelmann, M. J., Jenkins, H. N., Reddy, J. S., Wilson, J. G., Ding, X., Broadway, P. R., Ammari, M. G., Paul, O., Roberts, B. and Donaldson, J. R."	2016	The Effect of Oxygen on Bile Resistance in Listeria monocytogenes	Journal of proteomics & bioinformatics	9	4	107-119	Journal Article			
"Wu, C. L., Shukla, S. and Shrestha, N. K."	2016	"Evapotranspiration from drained wetlands with different hydrologic regimes: Drivers, modeling, and storage functions"	Journal of Hydrology	538		416-428	Journal Article		10.1016/j.jhydrol.2016.04.027	
"Wu, H., Acanda, Y., Jia, H. G., Wang, N. A. and Zale, J."	2016	Biolistic transformation of Carrizo citrange (Citrus sinensis Osb. x Poncirus trifoliata L. Raf.)	Plant Cell Reports	35	9	1955-1962	Journal Article	Moved from Micro & Cell Sci to Citrus REC per Larkin	10.1007/s00299-016-2010-2	
"Wu, H. L., Che, X. D., Ding, Z. H., Hu, X., Creamer, A. E., Chen, H. and Gao, B."	2016	Release of soluble elements from biochars derived from various biomass feedstocks	Environmental Science and Pollution Research	23	2	1905-1915	Journal Article		10.1007/s11356-015-5451-1	ABE
